Number,Questions,Blue,Red,Correct
1,מהו צבע השמש?,צהוב,סגול,Blue
2,חצי מ-30?,15,20,Blue
3,מה צפוני יותר?,צפת,אילת,Blue
4,5:3?,1.333,1.6666,Red
5,מה יותר כבד?,קילו נוצות,חצי קילו נפט,Blue
6,איפה נמצאת ירושלים?,במערב,במזרח,Red
7,90*3?,270,300,Blue
8,מי המציא את הנורה?,גלילאו,אדיסון,Red
9,"השלם: ""שלום ___""",חייזר,חבר,Red
10,מה יותר שמן?,חזיר,פיל,Red
11,"לפי ברי סחרוף: ""כולנו ____""",פועלים,עבדים,Red
12,מה רשום על הסביבון?,נ.ג.ה.פ,נ.י.ל.י,Blue
13,מה יותר חזק?,מר עולם,מיס יוניברס,Blue
14,4^4?,256,444,Blue
15,איך קוראים ללהקה של קובי אוז?,מסקינטייפ,טיפקס,Red
16,שם נרדף ליפן?,ארץ השמש העולה,אדמת הירח המיסטי,Blue
17,המתעמלת עושה סלטה עם...,בורג,פלומבה,Blue
18,"אש, רוח, אדמה ומה עוד?",מים,קרח,Blue
19,מה עומד להכחד?,ציפור מיינה,דוב פנדה,Red
20,באיזה קוטב הפינגווין???🐧,הדרומי,הצפוני,Blue
